asin,name,brand,price,rating,total_ratings,file_source,amperag_capac,amperag_capac_origin,batteri_includ,batteri_includ_origin,best_seller_rank,best_seller_rank_origin,brand_name,brand_name_origin,certification,certification_origin,color,color_origin,compatibledevic,compatibledevic_origin,conductor_count,conductor_count_origin,connectortyp,connectortyp_origin,contactmateri,contactmateri_origin,countryoforigin,countryoforigin_origin,current,current_origin,custom_review,custom_review_origin,date_first_avail,date_first_avail_origin,descript,descript_origin,finish,finish_origin,gaug,gaug_origin,inputcurr,inputcurr_origin,instal_method,instal_method_origin,is_discontinu_by_manufactur,is_discontinu_by_manufactur_origin,length,length_origin,manufactur,manufactur_origin,materi,materi_origin,measur_system,measur_system_origin,no_of_wire,no_of_wire_origin,number_of_cabl_strand,number_of_cabl_strand_origin,packag_dimens,packag_dimens_origin,pattern,pattern_origin,plug_format,plug_format_origin,power_sourc,power_sourc_origin,shape,shape_origin,size,size_origin,specif_met,specif_met_origin,studsiz,studsiz_origin,style,style_origin,suggest_user,suggest_user_origin,switch_style,switch_style_origin,temperatur,temperatur_origin,termin,termin_origin,upc,upc_origin,usag,usag_origin,voltag,voltag_origin,wattag,wattag_origin
B000BQT7EI,"The Hillman Group 123132 24 Gauge Galvanized Wire, 100-Feet, 1-Pack",Hillman,7.17,4.5,93.0,B000BQT7EI_product_details.json,,,"The Hillman Group 123132 24 Gauge Galvanized Wire, 100-Feet, 1-Pack","{'details_table': 'The Hillman Group 123132 24 Gauge Galvanized Wire, 100-Feet, 1-Pack'}","#298,067 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,408 in Electrical Wire","{'details_table': '#298,067 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,408 in Electrical Wire'}",Hillman,{'details_table': 'Hillman'},,,Silver,"{'overview': 'Silver', 'details_table': 'Silver'}",,,,,Polished,"{'overview': 'Polished', 'details_table': 'Polished'}",,,,,,,"4.5  4.5 out of 5 stars    
    93 ratings   


 4.5 out of 5 stars",{'details_table': '4.5  4.5 out of 5 stars    \n    93 ratings   \n\n\n 4.5 out of 5 stars'},"July 3, 2006","{'details_table': 'July 3, 2006'}",Warranty,{'details_table': 'Warranty'},,,⚠️CONFLICT⚠️ 24.0,"{'product_name': '24AWG', 'overview': '24.0', 'details_table': '24.0', 'features': '24 Gauge'}",,,,,,,100 Feet,{'details_table': '100 Feet'},The Hillman Group,{'details_table': 'The Hillman Group'},⚠️CONFLICT⚠️ Alloy Steel,"{'product_name': 'Galvanized', 'overview': 'AlloySteel', 'details_table': 'Alloy Steel', 'features': 'Galvanized'}",,,,,123132,{'details_table': '123132'},0.07 Kilograms,{'details_table': '0.07 Kilograms'},,,,,,,,,Pack of 1,{'details_table': 'Pack of 1'},,,,,,,unisex-adult,{'details_table': 'unisex-adult'},,,,,,,038902394248,{'details_table': '038902394248'},,,,,,
B07DGD2PVF,"Mixed 550 Feet of Nichrome 80 Wire 22,24,26,28,30,32,34,36 Gauge Pack",MasterWireSupply,,4.6,272.0,B07DGD2PVF_product_details.json,,,,,"#521,056inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,365inElectricalWire","{'details_table': '#521,056inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,365inElectricalWire'}",,,,,Black,{'overview': 'Black'},,,,,,,,,,,,,4.64.6outof5stars272ratings,{'details_table': '4.64.6outof5stars272ratings'},"June1,2018","{'details_table': 'June1,2018'}",,,,,⚠️CONFLICT⚠️ 36.0,"{'product_name': '36AWG', 'overview': '36.0', 'features': '30 Gauge'}",,,,,No,{'details_table': 'No'},550 feet,"{'product_name': '550 ft', 'features': '550 feet', 'overview': 'SingleStrand'}",MasterWireSupply,{'details_table': 'MasterWireSupply'},Nichrome,{'overview': 'Nichrome'},,,80 Wire,{'features': '80 Wire'},CoolerFive,{'details_table': 'CoolerFive'},,,,,,,,,,,550 feet,"{'features': '550 feet', 'details_table': '6.8x3.4x3.4inches;10.41ounces'}",,,,,,,,,,,550°F,{'product_name': '550°F'},,,,,,,,,,
B0CSPV6WJY,"18/6 50Ft. NATIONAL Wire&Cable Thermostat Doorbell HVAC Heating Control Professional Cable Wire - Made in USA - 100% Solid Copper Conductors, CL2 ETL Listed, Low Voltage Applications Use",NATIONALWire&Cable,31.99,4.7,161.0,B0CSPV6WJY_product_details.json,,,,,"#30,130inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#155inElectricalWire","{'details_table': '#30,130inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#155inElectricalWire'}",,,,,Brown,{'overview': 'Brown'},,,⚠️CONFLICT⚠️ 8C,"{'product_name': '6', 'variant_info': '8C', 'variants': '2', 'from_the_manufacturer': '10 conductors'}",,,,,USA,{'details_table': 'USA'},,,4.74.7outof5stars161ratings,{'details_table': '4.74.7outof5stars161ratings'},"January18,2024","{'details_table': 'January18,2024'}",,,,,⚠️CONFLICT⚠️ 18AWG,"{'product_name': '18AWG', 'variants': '20AWG', 'variant_info': '18AWG'}",,,,,,,⚠️CONFLICT⚠️ 50 ft,"{'product_name': '50 ft', 'variants': '500 ft', 'overview': '18'}",NATIONALWire&Cable,{'details_table': 'NATIONALWire&Cable'},Copper,"{'product_name': 'Copper', 'overview': 'Copper', 'from_the_manufacturer': 'copper', 'features': 'Copper'}",,,,,,,8.07x7.99x2.17inches;2.07Pounds,{'details_table': '8.07x7.99x2.17inches;2.07Pounds'},,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 50°F,"{'product_name': '50°F', 'variants': '2°C'}",,,,,,,240Volts,{'overview': '240Volts'},,
B07H9DN8SP,"SOOW 10/3 Bulk Cable - SOOW Jacket, 30 Amps, 3 Wire, 600v - Water and Oil Resistant (10)",ACDC,31.85,4.2,138.0,B07H9F7WWZ_product_details.json,,,,,"#231,209 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,149 in Electrical Wire","{'details_table': '#231,209 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,149 in Electrical Wire'}",,,,,Black,"{'overview': 'Black', 'details_table': 'Black'}",,,3,{'product_name': '3'},,,,,,,30 amps,{'features': '30 amps'},"4.2  4.2 out of 5 stars    
    138 ratings   


 4.2 out of 5 stars",{'details_table': '4.2  4.2 out of 5 stars    \n    138 ratings   \n\n\n 4.2 out of 5 stars'},,,,,,,⚠️CONFLICT⚠️ 10.0,"{'product_name': '10AWG', 'overview': '10.0', 'details_table': '10.0'}",,,,,No,{'details_table': 'No'},104,{'overview': '104'},,,Copper,"{'overview': 'Copper', 'details_table': 'Copper'}",,,3,{'details_table': '3'},104,{'details_table': '3.53 pounds'},11.46 x 11.3 x 3.7 inches,{'details_table': '11.46 x 11.3 x 3.7 inches'},,,,,,,,,,,,,,,,,,,,,,,,,681087971157,{'details_table': '681087971157'},,,⚠️CONFLICT⚠️ 600 Volts,"{'product_name': '600V', 'details_table': '600 Volts', 'features': '600 volts'}",,
B09XFBRVYX,"LUG2-14ADQ2 Southwire Mechanical Lug, 2PK",Southwire,4.5,4.7,106.0,B09XFBRVYX_product_details.json,,,No,{'details_table': 'Component'},"#95,134 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #503 in Electrical Wire","{'details_table': '#95,134 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #503 in Electrical Wire'}",,,,,Grey,"{'overview': 'Grey', 'details_table': 'Grey'}",,,90C,{'features': '90C'},Crimp,"{'overview': 'Crimp', 'details_table': 'Crimp'}",Copper,{'overview': 'Non-Insulated'},,,,,"4.7  4.7 out of 5 stars    
    106 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    106 ratings   \n\n\n 4.7 out of 5 stars'},"April 7, 2022","{'details_table': 'April 7, 2022'}",,,,,,,,,,,,,,,Southwire,{'details_table': 'Southwire'},Copper,{'details_table': 'Non-Insulated'},,,,,65180440,{'details_table': '1'},"0.52""L x 2.78""W x 5.12""H","{'details_table': '0.52""L x 2.78""W x 5.12""H'}",,,,,,,,,,,"CSA, UL","{'details_table': 'CSA, UL'}",,,,,,,,,90C,{'details_table': '90C'},⚠️CONFLICT⚠️ Screw Terminal,"{'overview': 'ScrewTerminal', 'details_table': 'Screw Terminal'}",032886791796,{'details_table': '032886791796'},,,600V,"{'features': '600V', 'details_table': '600 Volts'}",,
B0C4BBZMN6,"12 Gauge Electrical Wire 100FT, 12 AWG 2 Pin 2 Color Red and Black Cable 12V Strips Extension PVC Flexible 12V/24V DC Cable Low Voltage12 Gauge Stranded 2 Conductor Wire",AIMIXUN,19.99,4.7,261.0,B0C4BBZMN6_product_details.json,,,,,"#245,817inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,210inElectricalWire","{'details_table': '#245,817inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,210inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},⚠️CONFLICT⚠️ 12AWG100FT,"{'product_name': 'Red', 'overview': '12AWG100FT', 'features': 'Black'}",,,2,"{'product_name': '2', 'from_the_manufacturer': '2 Conductors', 'features': '2 Conductor'}",,,,,China,{'details_table': 'China'},,,4.74.7outof5stars261ratings,{'details_table': '4.74.7outof5stars261ratings'},"May4,2023","{'details_table': 'May4,2023'}",,,,,⚠️CONFLICT⚠️ 12AWG,"{'product_name': '12AWG', 'variants': '20AWG', 'variant_info': '12AWG', 'from_the_manufacturer': '12 Gauge', 'features': '12 Gauge'}",,,,,,,⚠️CONFLICT⚠️ 100FT,"{'product_name': '100 ft', 'features': '100FT', 'variants': '130 ft', 'overview': 'MultiStrand'}",AIMIXUN,{'details_table': 'AIMIXUN'},⚠️CONFLICT⚠️ AluminumwithCopperCladding,"{'product_name': 'PVC', 'overview': 'AluminumwithCopperCladding', 'features': 'PVC'}",,,,,,,4.92x4.84x4.41inches;2.71Pounds,{'details_table': '4.92x4.84x4.41inches;2.71Pounds'},,,,,,,,,100FT,{'features': '100FT'},,,,,,,,,,,⚠️CONFLICT⚠️ 100°F,"{'product_name': '100°F', 'variants': '130°F'}",,,,,,,⚠️CONFLICT⚠️ 12Volts,"{'product_name': '12V', 'overview': '12Volts', 'features': '12V'}",,
B00DIRTYSG,AMERICAN POWER PULL CORP Pp7008 Fence and Wire Grip,American Power Pull,23.83,4.3,400.0,B00DIRTYSG_product_details.json,,,,,"#110,134inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#20inElectricalPullingGrips","{'details_table': '#110,134inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#20inElectricalPullingGrips'}",,,,,,,,,,,,,,,China,{'details_table': 'China'},,,4.34.3outof5stars400ratings,{'details_table': '4.34.3outof5stars400ratings'},"January16,2007","{'details_table': 'January16,2007'}",,,,,,,,,,,,,,,AmericanPowerPull,{'details_table': 'AmericanPowerPull'},,,,,,,PP7008,{'details_table': 'PP7008'},,,,,,,,,,,3x1x7inches;6.4ounces,{'details_table': '3x1x7inches;6.4ounces'},,,,,,,,,,,7008°F,{'product_name': '7008°F'},,,,,,,,,,
B00NV7VP9Y,12 Ga. Black 392° F High-Temperature Wire (SRML) - (Price per 10 feet),CrimpSupply,24.94,4.8,45.0,B00NV7VP9Y_product_details.json,,,,,"#398,351inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,869inElectricalWire","{'details_table': '#398,351inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,869inElectricalWire'}",,,,,Black,"{'product_name': 'Black', 'overview': 'Black'}",,,,,,,,,,,,,4.84.8outof5stars45ratings,{'details_table': '4.84.8outof5stars45ratings'},"September24,2014","{'details_table': 'September24,2014'}",,,,,12.0,{'overview': '12.0'},,,,,,,10 ft,"{'product_name': '10 ft', 'features': '10 ft', 'overview': 'SingleStrand'}",CrimpSupply,{'details_table': 'CrimpSupply'},Copper,"{'overview': 'Copper', 'features': 'Copper'}",,,,,20A13004,{'details_table': '20A13004'},6.3x5.83x0.63inches;4.97ounces,{'details_table': '6.3x5.83x0.63inches;4.97ounces'},,,,,,,,,600 m,{'features': '600 m'},,,,,,,,,,,10°F,{'product_name': '10°F'},,,,,,,,,,
B01ANZRXDI,"14-Gauge Automotive Primary Wire Bundle (100ft Each, Red & Black) | Ideal for Car Audio, Automotive, and Trailer | Durable Primary/Remote, Power/Ground Electrical Wiring",BESTCONNECTIONS,29.95,4.7,634.0,B01ANZRXDI_product_details.json,,,,,"#386,305inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,818inElectricalWire","{'details_table': '#386,305inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,818inElectricalWire'}",,,,,"⚠️CONFLICT⚠️ Red,Black","{'product_name': 'Red', 'overview': 'Red,Black', 'features': 'red'}",Speaker,{'overview': 'Speaker'},,,Genderless,{'overview': 'Genderless'},,,,,,,4.74.7outof5stars634ratings,{'details_table': '4.74.7outof5stars634ratings'},"January15,2016","{'details_table': 'January15,2016'}",,,,,18 gauge,{'features': '18 gauge'},,,,,No,{'details_table': 'No'},⚠️CONFLICT⚠️ 100ft,"{'product_name': '100 ft', 'features': '100ft', 'overview': 'flexible'}",Audiopipe/BestConnections,{'details_table': 'Audiopipe/BestConnections'},COPPER,{'features': 'COPPER'},,,,,AP-14-100REDBLACK,{'details_table': 'AP-14-100REDBLACK'},,,,,,,,,,,100ft,"{'features': '100ft', 'details_table': '8x4x3inches;2.15Pounds'}",,,,,,,,,,,100°C,{'product_name': '100°C'},,,,,,,,,,
B0CBB4JFKY,MECCANIXITY 22AWG Ribbon Cable Silicone Wire 5Pin 22 Gauge Ribbon Wire Flat Silicone Cable 15m/50ft Black Stranded Tinned Copper Wire,MECCANIXITY,26.59,4.5,2.0,B0CBB4JFKY_product_details.json,,,,,"#434,331inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,996inElectricalWire","{'details_table': '#434,331inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,996inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},Black,"{'product_name': 'Black', 'from_the_manufacturer': 'Black', 'features': 'Black'}",,,,,,,,,China,{'details_table': 'China'},,,4.54.5outof5stars2ratings,{'details_table': '4.54.5outof5stars2ratings'},"July7,2023","{'details_table': 'July7,2023'}",,,,,⚠️CONFLICT⚠️ 22AWG,"{'product_name': '22AWG', 'variants': '30AWG', 'variant_info': '22AWG'}",,,,,,,⚠️CONFLICT⚠️ 15m,"{'product_name': '15 ft', 'features': '15m', 'variants': '24.6 ft', 'overview': 'MultiStrand'}",MECCANIXITY,"{'overview': 'MECCANIXITY', 'details_table': 'MECCANIXITY'}",Silicone,"{'product_name': 'Silicone', 'overview': 'Silicone', 'from_the_manufacturer': 'Silicone', 'features': 'silicone'}",,,,,mea230519ee0784,{'details_table': 'mea230519ee0784'},3.31x3.15x2.56inches;14.82ounces,{'details_table': '3.31x3.15x2.56inches;14.82ounces'},,,,,,,,,15m,{'features': '15m'},,,,,,,,,,,50°F,{'product_name': '50°F'},,,,,,,600Volts,"{'overview': '600Volts', 'features': '600V'}",,
B01AV6QBYG,TEMCo Titanium Wire 22 Gauge 25 FT Surgical Grade 1 Resistance AWG ga,Temco,,4.5,72.0,B01AV6QBYG_product_details.json,,,,,"#801,836inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#3,552inElectricalWire","{'details_table': '#801,836inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#3,552inElectricalWire'}",,,,,,,,,,,,,,,,,,,4.54.5outof5stars72ratings,{'details_table': '4.54.5outof5stars72ratings'},"January20,2016","{'details_table': 'January20,2016'}",,,,,⚠️CONFLICT⚠️ 22.0,"{'product_name': '22AWG', 'overview': '22.0', 'features': '22 AWG'}",,,,,No,{'details_table': 'No'},25 ft,"{'product_name': '25 ft', 'overview': 'SingleStrand'}",TEMCo,"{'overview': 'TEMCo', 'details_table': 'TEMCo'}",titanium,{'overview': 'titanium'},,,1,{'overview': '1'},RW0485,{'details_table': '0.79ounces'},,,,,,,,,,,0.64262 m,{'features': '0.64262 m'},,,,,,,,,,,25°F,"{'product_name': '25°F', 'features': '1670°C'}",,,,,,,,,,
B08J7WKV6W,22AWG 65.6ft 3 Conductor Extension Cable Wire Cord Line 20m Stranded Tinned Copper 22 Gauge 3Pin Color Wire 12V 24V DC for WS2812b WS2811 Dream Color Led Strip Lights,CARLITS,12.58,4.6,456.0,B08J7WKV6W_product_details.json,,,,,"#262,848inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,278inElectricalWire","{'details_table': '#262,848inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,278inElectricalWire'}",,,,,⚠️CONFLICT⚠️ White,"{'overview': 'White', 'features': 'Black'}",,,3,{'product_name': '3'},,,,,,,3A,{'features': '3A'},4.64.6outof5stars456ratings,{'details_table': '4.64.6outof5stars456ratings'},"September16,2020","{'details_table': 'September16,2020'}",,,,,⚠️CONFLICT⚠️ 22.0,"{'product_name': '22AWG', 'overview': '22.0', 'from_the_manufacturer': '22 GAUGE', 'features': '22 gauge'}",,,,,,,⚠️CONFLICT⚠️ 65.6ft,"{'product_name': '65.6 ft', 'features': '65.6ft', 'overview': '17'}",CARLITS,{'details_table': 'CARLITS'},⚠️CONFLICT⚠️ Copper,"{'product_name': 'Tinned Copper', 'overview': 'Copper', 'from_the_manufacturer': 'tinned copper', 'features': 'tinned copper'}",,,2 wire,{'from_the_manufacturer': '2 wire'},,,5.75x5.08x3.03inches;9.52ounces,{'details_table': '5.75x5.08x3.03inches;9.52ounces'},,,,,,,,,65.6ft,{'features': '65.6ft'},,,,,,,,,,,65.6°C,{'product_name': '65.6°C'},,,,,,,12V,"{'product_name': '12V', 'from_the_manufacturer': '12v', 'features': '300V'}",,
B00D49VGFM,"Cerro 112-3872J 500-Feet 10-Gauge Stranded THHN, White",Cerrowire,154.0,4.5,29.0,B00D49VGFM_product_details.json,,,No,{'details_table': 'Wire'},"#135,202 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #689 in Electrical Wire","{'details_table': '#135,202 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #689 in Electrical Wire'}",,,,,White,"{'product_name': 'White', 'overview': 'White', 'details_table': 'White', 'variants': 'White'}",,,,,,,,,,,,,"4.5  4.5 out of 5 stars    
    29 ratings   


 4.5 out of 5 stars",{'details_table': '4.5  4.5 out of 5 stars    \n    29 ratings   \n\n\n 4.5 out of 5 stars'},"May 28, 2013","{'details_table': 'May 28, 2013'}",,,,,10.0,"{'overview': '10.0', 'details_table': '10.0'}",,,,,,,1,{'overview': '1'},MARMON HOME IMPROVEMENT PROD,{'details_table': 'MARMON HOME IMPROVEMENT PROD'},Copper,"{'overview': 'Copper', 'details_table': 'Copper', 'features': 'PVC'}",,,,,1,{'details_table': '1'},6.5 x 6.5 x 6.9 inches,{'details_table': '6.5 x 6.5 x 6.9 inches'},,,,,,,,,,,,,,,,,,,,,,,,,048243983827,{'details_table': '048243983827'},,,600 Volts,{'details_table': '600 Volts'},,
B0C4P4Z73C,"18AWG 2 Wire Electrical Cord JACKYLED 2 Conductor 10M/32.8ft Wire Cord 18 Gauge Flexible Cable for LED Strips Electrical Wire 12V/24V DC Cable, 18/2 Wire Black and Red",JACKYLED,12.59,4.6,8119.0,B0C4P4Z73C_product_details.json,,,,,"#22,526 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #116 in Electrical Wire","{'details_table': '#22,526 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #116 in Electrical Wire'}",,,flame retardant,"{'from_the_manufacturer': 'flame retardant', 'features': 'flame retardant'}",⚠️CONFLICT⚠️ Red and Black,"{'product_name': 'Black', 'overview': 'RedandBlack', 'details_table': 'Red and Black', 'features': 'black'}",,,2,"{'product_name': '2', 'features': '2 conductor'}",,,,,,,8.5A,{'features': '8.5A'},"4.6  4.6 out of 5 stars    
    8,119 ratings   


 4.6 out of 5 stars","{'details_table': '4.6  4.6 out of 5 stars    \n    8,119 ratings   \n\n\n 4.6 out of 5 stars'}","May 9, 2023","{'details_table': 'May 9, 2023'}",,,,,⚠️CONFLICT⚠️ 18AWG,"{'product_name': '18AWG', 'variants': '22AWG', 'variant_info': '22AWG', 'from_the_manufacturer': '18 AWG', 'features': '18 gauge'}",,,,,,,⚠️CONFLICT⚠️ 32.8ft,"{'product_name': '10 ft', 'features': '32.8ft', 'variants': '65.6 ft', 'overview': 'MultiStrand'}",JACKYLED,{'details_table': 'JACKYLED'},Copper,"{'overview': 'Copper', 'details_table': 'Copper', 'from_the_manufacturer': 'copper', 'features': 'copper'}",,,2,{'details_table': '2'},Multi Strand,{'details_table': 'JACKYLED800'},6.06 x 6.06 x 1.42 inches,{'details_table': '6.06 x 6.06 x 1.42 inches'},,,,,,,,,32.8ft,{'features': '32.8ft'},,,,,,,,,,,⚠️CONFLICT⚠️ 2°F,"{'product_name': '2°F', 'variants': '65.6°F'}",,,,,,,⚠️CONFLICT⚠️ 300 Volts,"{'product_name': '12V', 'overview': '300Volts', 'details_table': '300 Volts', 'features': '24V'}",,
B0BZ42TFK2,FIRMERST 18/2 Low Voltage Landscape Wire Outdoor Lighting Cable 50 Feet,FIRMERST,14.99,4.6,478.0,B0BZ42TFK2_product_details.json,,,,,"#68,653inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#363inElectricalWire","{'details_table': '#68,653inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#363inElectricalWire'}",,,UL,{'features': 'UL'},Black,"{'overview': 'Black', 'from_the_manufacturer': 'black', 'features': 'Black'}",,,2,"{'product_name': '2', 'features': '2C'}",,,,,,,,,4.64.6outof5stars478ratings,{'details_table': '4.64.6outof5stars478ratings'},"March21,2023","{'details_table': 'March21,2023'}",,,,,⚠️CONFLICT⚠️ 18,"{'product_name': '18AWG', 'overview': '18', 'features': '18AWG'}",,,,,,,⚠️CONFLICT⚠️ 50 ft,"{'product_name': '50 ft', 'variants': '500 ft', 'overview': 'MultiStrand'}",FIRMERST,{'details_table': 'FIRMERST'},Copper,"{'overview': 'Copper', 'from_the_manufacturer': 'copper'}",,,,,,,8.07x8.07x2.01inches;1.43Pounds,{'details_table': '8.07x8.07x2.01inches;1.43Pounds'},,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 50°F,"{'product_name': '50°F', 'variants': '500°F'}",,,,,,,300V,{'features': '300V'},,
B08TTT1JD9,"Fence Wire Tightener Wire Tensioner for Fence -Pack of 20,silver",Mingya,,4.5,13.0,B08TTT1JD9_product_details.json,,,,,"#810,565inPatio,Lawn&Garden(SeeTop100inPatio,Lawn&Garden)#2,824inAgriculturalFencing","{'details_table': '#810,565inPatio,Lawn&Garden(SeeTop100inPatio,Lawn&Garden)#2,824inAgriculturalFencing'}",,,,,silver,{'product_name': 'silver'},,,,,,,,,,,,,4.54.5outof5stars13ratings,{'details_table': '4.54.5outof5stars13ratings'},"January23,2021","{'details_table': 'January23,2021'}",,,,,,,,,,,,,,,Mingya,{'details_table': 'Mingya'},,,,,,,MY-015,{'details_table': 'MY-015'},,,,,,,,,,,11x9.8x5.5inches;7.8Pounds,{'details_table': '11x9.8x5.5inches;7.8Pounds'},,,,,,,,,,,,,,,,,,,,,,
B0154H7BLE,RGBSIGHT 40FT 18 Gauge RGBW LED Strip Extension Cable 18AWG 5pin 5 Color Stand Electrical Flexible Wire Extension Cord for RGBW RGBWW LED Ribbon Lamp Tape Lighting (40 Feet per Spool),Intotal,23.99,4.6,258.0,B0154H7BLE_product_details.json,,,,,"#140,185inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#713inElectricalWire","{'details_table': '#140,185inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#713inElectricalWire'}",,,,,"Red,White,Blue,Black,Green","{'overview': 'Red,White,Blue,Black,Green'}",,,5,{'product_name': '5'},,,,,,,3.5A,{'features': '3.5A'},4.64.6outof5stars258ratings,{'details_table': '4.64.6outof5stars258ratings'},"September9,2015","{'details_table': 'September9,2015'}",,,,,⚠️CONFLICT⚠️ 18.0,"{'product_name': '18AWG', 'overview': '18.0'}",,,,,No,{'details_table': 'No'},40 ft,"{'product_name': '40 ft', 'overview': 'MultiStrand'}",RGBSIGHTINC,{'details_table': 'RGBSIGHTINC'},Copper,"{'overview': 'Copper', 'features': 'copper'}",,,,,RGBSIGHT-1030,{'details_table': 'RGBSIGHT-1030'},3.66x3.58x2.68inches;1.19Pounds,{'details_table': '3.66x3.58x2.68inches;1.19Pounds'},,,,,,,,,,,,,,,,,,,,,40°F,{'product_name': '40°F'},,,,,,,300V,{'features': '300V'},,
B0D1H6K1X1,"Wirenco 6/3 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Used for Wiring Swiches, Outlets and Other Loads with Dry Applications (70Ft Cut)…",wirenco,304.33,5.0,1.0,B0D1H6K1X1_product_details.json,,,,,"#552,306inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,503inElectricalWire","{'details_table': '#552,306inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,503inElectricalWire'}",,,,,Black,{'overview': 'Black'},,,3,{'product_name': '3'},,,,,USA,{'details_table': 'USA'},55 Amps,{'features': '55 Amps'},5.05.0outof5stars1rating,{'details_table': '5.05.0outof5stars1rating'},"December23,2020","{'details_table': 'December23,2020'}",,,,,6AWG,"{'product_name': '6AWG', 'features': '6 AWG'}",,,,,,,70 ft,"{'product_name': '70 ft', 'overview': '19'}",wirenco,{'details_table': 'wirenco'},Copper,"{'overview': 'Copper', 'features': 'Copper'}",,,,,21592-#,{'details_table': '21592-#'},,,,,,,,,,,,,,,,,,,,,,,70°F,{'product_name': '70°F'},,,,,,,600Volts,{'overview': '600Volts'},,
B014U90BAA,"uxcell Anti Dust Plug Computer Port Protector, Silicone Anti Dust Cover Cap Port Stopper for Display Port (Pack of 10)",uxcell,6.57,4.6,69.0,B014U90BAA_product_details.json,,,,,"#148,277inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#750inElectricalWire","{'details_table': '#148,277inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#750inElectricalWire'}",,,,,black,{'features': 'black'},,,,,,,,,China,{'details_table': 'China'},,,4.64.6outof5stars69ratings,{'details_table': '4.64.6outof5stars69ratings'},"September3,2015","{'details_table': 'September3,2015'}",,,,,,,,,,,No,{'details_table': 'No'},,,uxcell,{'details_table': 'uxcell'},Silicone,"{'product_name': 'Silicone', 'features': 'silicone'}",,,,,a15033100ux0134,{'details_table': 'a15033100ux0134'},4.13x3.86x0.51inches;0.28ounces,{'details_table': '4.13x3.86x0.51inches;0.28ounces'},,,,,,,,,6m,{'features': '17 x 7 x 6mm'},,,,,,,,,,,,,,,,,,,,,,
